text,retweet_count,favoriate_count,urls,media,,,,,,,,,,,,,,,,,,,,,
RT @Lukita_Moudrik: ¬øCu√°l es tu lanzador favorito? #Gal√°cticos #RealMadrid https://t.co/KXHKJ1aoT4,9,0,,"[{'id': 746870254505197568, 'id_str': '746870254505197568', 'indices': [75, 98], 'media_url': 'http://pbs.twimg.com/media/Cl1qihUWgAAMJyJ.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Cl1qihUWgAAMJyJ.jpg', 'url': 'https://t.co/KXHKJ1aoT4', 'display_url': 'pic.twitter.com/KXHKJ1aoT4', 'expanded_url': 'https://twitter.com/Futbol_Dioses/status/746870327251243008/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 500, 'h': 450, 'resize': 'fit'}, 'medium': {'w': 500, 'h': 450, 'resize': 'fit'}, 'small': {'w': 500, 'h': 450, 'resize': 'fit'}}, 'source_status_id': 746870327251243008, 'source_status_id_str': '746870327251243008', 'source_user_id': 731646955005218816, 'source_user_id_str': '731646955005218816'}]",,,,,,,,,,,,,,,,,,,,,
RT @realmadrid: 72' Gol de Drogba. Galatasaray 3-1 Real Madrid #halamadrid #realmadrid,6467,0,,,,,,,,,,,,,,,,,,,,,,,
"RT @ontheclutch: #LaLiga Resultados del d√≠a

#Levante 2-1 #LasPalmas
#RealMadrid 1-1 #Atl√©ticoMadrif
#RealSociedad 5-0 #Girona
#Valencia 1-®π¶¢,1,0,,
RT @realmadrid: FINAL: Galatasaray 3-2 Real Madrid (Ebou√©", 57®π; Sneijder, 71®π; Drogba, 72®π / Cristiano Ronaldo, 8®π y 92®π) #halamadrid #real®π¶¢,4587,0,,,,,,,,,,,,,,,,,,,
Please RT!! #realmadrid     Navas: ?Nos descuidamos atr√°s? https://t.co/EjwJV2wE9U https://t.co/ZBzv0C2e4J,0,0,"[{'url': 'https://t.co/EjwJV2wE9U', 'expanded_url': 'http://bit.ly/2Hl7s4f', 'display_url': 'bit.ly/2Hl7s4f', 'indices': [59, 82]}]","[{'id': 983156667117461504, 'id_str': '983156667117461504', 'indices': [83, 106], 'media_url': 'http://pbs.twimg.com/media/DaTfx54X4AAgG7l.jpg', 'media_url_https': 'https://pbs.twimg.com/media/DaTfx54X4AAgG7l.jpg', 'url': 'https://t.co/ZBzv0C2e4J', 'display_url': 'pic.twitter.com/ZBzv0C2e4J', 'expanded_url': 'https://twitter.com/TwitsFutbol/status/983156669373997056/photo/1', 'type': 'photo', 'sizes': {'large': {'w': 1000, 'h': 580, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 394, 'resize': 'fit'}, 'medium': {'w': 1000, 'h': 580, 'resize': 'fit'}}}]",,,,,,,,,,,,,,,,,,,,,
"RT @realmadrid: Å†FP: #RealMadrid 1-1 @Atleti (@Cristiano 53'; Griezmann 57').
#Emirates | #RMDerbi https://t.co/EGNpH9TjRI",1827,0,,"[{'id': 983012939509780480, 'id_str': '983012939509780480', 'indices': [100, 123], 'media_url': 'http://pbs.twimg.com/media/DaRdD20X0AApGZ0.jpg', 'media_url_https': 'https://pbs.twimg.com/media/DaRdD20X0AApGZ0.jpg', 'url': 'https://t.co/EGNpH9TjRI', 'display_url': 'pic.twitter.com/EGNpH9TjRI', 'expanded_url': 'https://twitter.com/realmadrid/status/983013007918845953/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'large': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}}, 'source_status_id': 983013007918845953, 'source_status_id_str': '983013007918845953', 'source_user_id': 14872237, 'source_user_id_str': '14872237'}]",,,,,,,,,,,,,,,,,,,,,
"#LaLiga Resultados del d√≠a

#Levante 2-1 #LasPalmas
#RealMadrid 1-1 #Atl√©ticoMadrif
#RealSociedad 5-0 #Girona®π https://t.co/aGqqAppp6N",1,1,"[{'url': 'https://t.co/aGqqAppp6N', 'expanded_url': 'https://twitter.com/i/web/status/983156121606279168', 'display_url': 'twitter.com/i/web/status/9®π¶ß, 'indices': [111, 134]}]",,,,,,,,,,,,,,,,,,,,,,
"RT @rmadridsite: La √∫nica cuenta que te dice SIEMPRE los horarios y canales de todos los partidos de #RealMadrid 

SIGUE YA °Ô @realmadridn®π¶¢,40,0,,
RT @rmadridsite: La √∫nica cuenta que te dice SIEMPRE los horarios y canales de todos los partidos de #RealMadrid ",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
SIGUE YA °Ô @realmadridn®π¶¢,40,0,,,,,,,,,,,,,,,,,,,,,,,
"RT @rmadridsite: La √∫nica cuenta que te dice SIEMPRE los horarios y canales de todos los partidos de #RealMadrid 

SIGUE YA °Ô @realmadridn®π¶¢,40,0,,
RT @rmadridsite: La √∫nica cuenta que te dice SIEMPRE los horarios y canales de todos los partidos de #RealMadrid ",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
SIGUE YA °Ô @realmadridn®π¶¢,40,0,,,,,,,,,,,,,,,,,,,,,,,
"RT @rmadridsite: La √∫nica cuenta que te dice SIEMPRE los horarios y canales de todos los partidos de #RealMadrid 

SIGUE YA °Ô @realmadridn®π¶¢,40,0,,
RT @rmadridsite: La √∫nica cuenta que te dice SIEMPRE los horarios y canales de todos los partidos de #RealMadrid ",,,,,,,,,,,,,,,,,,,,,,,,,
